Name,Weight,CumulativeWeight
Mary,2.629,2.629,1
Patricia,1.073,3.702,2
Linda,1.035,4.736,3
Barbara,0.980,5.716,4
Elizabeth,0.937,6.653,5
Jennifer,0.932,7.586,6
Maria,0.828,8.414,7
Susan,0.794,9.209,8
Margaret,0.768,9.976,9
Dorothy,0.727,10.703,10
Lisa,0.704,11.407,11
Nancy,0.669,12.075,12
Karen,0.667,12.742,13
Betty,0.666,13.408,14
Helen,0.663,14.071,15
Sandra,0.629,14.700,16
Donna,0.583,15.282,17
Carol,0.565,15.848,18
Ruth,0.562,16.410,19
Sharon,0.522,16.932,20
Michelle,0.519,17.451,21
Laura,0.510,17.961,22
Sarah,0.508,18.469,23
Kimberly,0.504,18.973,24
Deborah,0.494,19.467,25
Jessica,0.490,19.958,26
Shirley,0.482,20.439,27
Cynthia,0.469,20.908,28
Angela,0.468,21.376,29
Melissa,0.462,21.839,30
Brenda,0.455,22.293,31
Amy,0.451,22.745,32
Anna,0.440,23.185,33
Rebecca,0.430,23.615,34
Virginia,0.430,24.044,35
Kathleen,0.424,24.468,36
Pamela,0.416,24.884,37
Martha,0.412,25.297,38
Debra,0.408,25.704,39
Amanda,0.404,26.108,40
Stephanie,0.400,26.508,41
Carolyn,0.385,26.893,42
Christine,0.382,27.275,43
Marie,0.379,27.655,44
Janet,0.379,28.034,45
Catherine,0.373,28.408,46
Frances,0.370,28.777,47
Ann,0.364,29.141,48
Joyce,0.364,29.505,49
Diane,0.359,29.864,50
Alice,0.357,30.221,51
Julie,0.348,30.568,52
Heather,0.337,30.905,53
Teresa,0.336,31.241,54
Doris,0.335,31.577,55
Gloria,0.335,31.912,56
Evelyn,0.322,32.233,57
Jean,0.315,32.548,58
Cheryl,0.315,32.863,59
Mildred,0.313,33.176,60
Katherine,0.313,33.489,61
Joan,0.306,33.795,62
Ashley,0.303,34.098,63
Judith,0.297,34.395,64
Rose,0.296,34.691,65
Janice,0.285,34.975,66
Kelly,0.283,35.258,67
Nicole,0.281,35.539,68
Judy,0.276,35.815,69
Christina,0.275,36.090,70
Kathy,0.272,36.362,71
Theresa,0.271,36.633,72
Beverly,0.267,36.900,73
Denise,0.264,37.164,74
Tammy,0.259,37.423,75
Irene,0.252,37.675,76
Jane,0.250,37.925,77
Lori,0.248,38.173,78
Rachel,0.242,38.415,79
Marilyn,0.241,38.657,80
Andrea,0.236,38.893,81
Kathryn,0.234,39.127,82
Louise,0.229,39.356,83
Sara,0.229,39.584,84
Anne,0.228,39.812,85
Jacqueline,0.228,40.040,86
Wanda,0.226,40.266,87
Bonnie,0.223,40.489,88
Julia,0.223,40.711,89
Ruby,0.221,40.932,90
Lois,0.220,41.153,91
Tina,0.220,41.372,92
Phyllis,0.219,41.591,93
Norma,0.218,41.809,94
Paula,0.217,42.026,95
Diana,0.216,42.242,96
Annie,0.216,42.458,97
Lillian,0.211,42.669,98
Emily,0.208,42.877,99
Robin,0.208,43.085,100
Peggy,0.208,43.293,101
Crystal,0.207,43.500,102
Gladys,0.205,43.705,103
Rita,0.204,43.908,104
Dawn,0.202,44.111,105
Connie,0.200,44.311,106
Florence,0.200,44.511,107
Tracy,0.197,44.708,108
Edna,0.197,44.904,109
Tiffany,0.195,45.100,110
Carmen,0.195,45.295,111
Rosa,0.194,45.489,112
Cindy,0.192,45.681,113
Grace,0.189,45.869,114
Wendy,0.185,46.055,115
Victoria,0.180,46.235,116
Edith,0.179,46.414,117
Kim,0.178,46.592,118
Sherry,0.178,46.770,119
Sylvia,0.177,46.947,120
Josephine,0.177,47.123,121
Thelma,0.175,47.298,122
Shannon,0.175,47.473,123
Sheila,0.175,47.648,124
Ethel,0.174,47.822,125
Ellen,0.173,47.995,126
Elaine,0.173,48.168,127
Marjorie,0.173,48.341,128
Carrie,0.171,48.512,129
Charlotte,0.169,48.680,130
Monica,0.166,48.847,131
Esther,0.166,49.013,132
Pauline,0.165,49.178,133
Emma,0.165,49.342,134
Juanita,0.164,49.506,135
Anita,0.162,49.669,136
Rhonda,0.162,49.830,137
Hazel,0.161,49.991,138
Amber,0.160,50.151,139
Eva,0.159,50.310,140
Debbie,0.157,50.467,141
April,0.154,50.621,142
Leslie,0.154,50.775,143
Clara,0.153,50.928,144
Lucille,0.153,51.081,145
Jamie,0.153,51.235,146
Joanne,0.150,51.385,147
Eleanor,0.150,51.535,148
Valerie,0.149,51.684,149
Danielle,0.149,51.833,150
Megan,0.147,51.981,151
Alicia,0.146,52.126,152
Suzanne,0.145,52.272,153
Michele,0.145,52.417,154
Gail,0.145,52.562,155
Bertha,0.143,52.704,156
Darlene,0.142,52.847,157
Veronica,0.142,52.989,158
Jill,0.142,53.131,159
Erin,0.141,53.272,160
Geraldine,0.141,53.413,161
Lauren,0.137,53.550,162
Cathy,0.137,53.687,163
Joann,0.136,53.823,164
Lorraine,0.135,53.958,165
Lynn,0.135,54.093,166
Sally,0.135,54.228,167
Regina,0.133,54.360,168
Erica,0.130,54.490,169
Beatrice,0.130,54.620,170
Dolores,0.129,54.749,171
Bernice,0.128,54.877,172
Audrey,0.127,55.003,173
Yvonne,0.126,55.129,174
Annette,0.125,55.255,175
June,0.125,55.380,176
Samantha,0.124,55.504,177
Marion,0.122,55.626,178
Dana,0.122,55.748,179
Stacy,0.121,55.869,180
Ana,0.120,55.989,181
Renee,0.120,56.109,182
Ida,0.118,56.227,183
Vivian,0.118,56.346,184
Roberta,0.117,56.463,185
Holly,0.117,56.580,186
Brittany,0.117,56.697,187
Melanie,0.116,56.813,188
Loretta,0.115,56.928,189
Yolanda,0.115,57.043,190
Jeanette,0.115,57.158,191
Laurie,0.114,57.271,192
Katie,0.113,57.385,193
Kristen,0.111,57.496,194
Vanessa,0.111,57.607,195
Alma,0.111,57.718,196
Sue,0.111,57.829,197
Elsie,0.110,57.939,198
Beth,0.110,58.049,199
Jeanne,0.109,58.158,200
Vicki,0.109,58.267,201
Carla,0.107,58.374,202
Tara,0.107,58.482,203
Rosemary,0.107,58.589,204
Eileen,0.105,58.694,205
Terri,0.105,58.799,206
Gertrude,0.103,58.902,207
Lucy,0.103,59.005,208
Tonya,0.102,59.107,209
Ella,0.101,59.208,210
Stacey,0.101,59.308,211
Wilma,0.099,59.408,212
Gina,0.099,59.506,213
Kristin,0.099,59.605,214
Jessie,0.098,59.703,215
Natalie,0.098,59.801,216
Agnes,0.098,59.899,217
Vera,0.098,59.997,218
Willie,0.097,60.094,219
Charlene,0.097,60.191,220
Bessie,0.096,60.287,221
Delores,0.095,60.382,222
Melinda,0.094,60.477,223
Pearl,0.094,60.571,224
