Name,Weight,CumulativeWeight
James,3.318,3.318,1
John,3.271,6.589,2
Robert,3.143,9.732,3
Michael,2.629,12.361,4
William,2.451,14.812,5
David,2.363,17.176,6
Richard,1.703,18.878,7
Charles,1.523,20.401,8
Joseph,1.404,21.805,9
Thomas,1.380,23.185,10
Christopher,1.035,24.220,11
Daniel,0.974,25.194,12
Paul,0.948,26.142,13
Mark,0.938,27.081,14
Donald,0.931,28.012,15
George,0.927,28.939,16
Kenneth,0.826,29.766,17
Steven,0.780,30.546,18
Edward,0.779,31.325,19
Brian,0.736,32.061,20
Ronald,0.725,32.787,21
Anthony,0.721,33.508,22
Kevin,0.671,34.179,23
Jason,0.660,34.839,24
Matthew,0.657,35.496,25
Gary,0.650,36.147,26
Timothy,0.640,36.786,27
Jose,0.613,37.399,28
Larry,0.598,37.997,29
Jeffrey,0.591,38.588,30
Frank,0.581,39.169,31
Scott,0.546,39.715,32
Eric,0.544,40.259,33
Stephen,0.540,40.799,34
Andrew,0.537,41.335,35
Raymond,0.488,41.824,36
Gregory,0.441,42.265,37
Joshua,0.435,42.700,38
Jerry,0.432,43.132,39
Dennis,0.415,43.547,40
Walter,0.399,43.946,41
Patrick,0.389,44.335,42
Peter,0.381,44.716,43
Harold,0.371,45.087,44
Douglas,0.367,45.454,45
Henry,0.365,45.819,46
Carl,0.346,46.165,47
Arthur,0.335,46.500,48
Ryan,0.328,46.828,49
Roger,0.322,47.150,50
Joe,0.321,47.471,51
Juan,0.316,47.786,52
Jack,0.315,48.102,53
Albert,0.314,48.415,54
Jonathan,0.313,48.729,55
Justin,0.311,49.040,56
Terry,0.311,49.351,57
Gerald,0.309,49.660,58
Keith,0.308,49.968,59
Samuel,0.306,50.274,60
Willie,0.302,50.576,61
Ralph,0.282,50.859,62
Lawrence,0.282,51.141,63
Nicholas,0.275,51.415,64
Roy,0.273,51.688,65
Benjamin,0.270,51.958,66
Bruce,0.263,52.221,67
Brandon,0.260,52.480,68
Adam,0.259,52.740,69
Harry,0.251,52.991,70
Fred,0.251,53.241,71
Wayne,0.249,53.490,72
Billy,0.248,53.738,73
Steve,0.246,53.984,74
Louis,0.243,54.227,75
Jeremy,0.242,54.469,76
Aaron,0.240,54.710,77
Randy,0.232,54.942,78
Howard,0.230,55.172,79
Eugene,0.230,55.402,80
Carlos,0.229,55.630,81
Russell,0.224,55.854,82
Bobby,0.223,56.077,83
Victor,0.222,56.299,84
Martin,0.216,56.515,85
Ernest,0.215,56.730,86
Phillip,0.213,56.942,87
Todd,0.213,57.155,88
Jesse,0.209,57.364,89
Craig,0.206,57.570,90
Alan,0.204,57.774,91
Shawn,0.200,57.973,92
Clarence,0.197,58.170,93
Sean,0.197,58.368,94
Philip,0.197,58.565,95
Chris,0.197,58.761,96
Johnny,0.195,58.957,97
Earl,0.193,59.149,98
Jimmy,0.191,59.340,99
Antonio,0.190,59.531,100
Danny,0.190,59.720,101
Bryan,0.190,59.910,102
Tony,0.190,60.100,103
Luis,0.189,60.289,104
Mike,0.189,60.478,105
Stanley,0.186,60.665,106
Leonard,0.186,60.850,107
Nathan,0.185,61.035,108
Dale,0.184,61.219,109
Manuel,0.181,61.400,110
Rodney,0.180,61.581,111
Curtis,0.180,61.761,112
Norman,0.177,61.938,113
Allen,0.174,62.112,114
Marvin,0.171,62.283,115
Vincent,0.168,62.450,116
Glenn,0.167,62.617,117
Jeffery,0.166,62.783,118
Travis,0.166,62.949,119
Jeff,0.166,63.114,120
Chad,0.165,63.279,121
Jacob,0.165,63.444,122
Lee,0.162,63.606,123
Melvin,0.162,63.768,124
Alfred,0.162,63.930,125
Kyle,0.160,64.090,126
Francis,0.160,64.250,127
Bradley,0.159,64.409,128
Jesus,0.155,64.564,129
Herbert,0.155,64.719,130
Frederick,0.154,64.873,131
Ray,0.153,65.026,132
Joel,0.152,65.177,133
Edwin,0.148,65.326,134
Don,0.145,65.471,135
Eddie,0.144,65.615,136
Ricky,0.141,65.756,137
Troy,0.138,65.895,138
Randall,0.138,66.032,139
Barry,0.134,66.167,140
Alexander,0.132,66.299,141
Bernard,0.127,66.427,142
Mario,0.125,66.552,143
Leroy,0.125,66.676,144
Francisco,0.124,66.801,145
Marcus,0.124,66.925,146
Micheal,0.123,67.048,147
Theodore,0.123,67.171,148
Clifford,0.123,67.293,149
Miguel,0.122,67.415,150
Oscar,0.122,67.538,151
Jay,0.118,67.656,152
Jim,0.118,67.773,153
Tom,0.117,67.890,154
Calvin,0.115,68.006,155
Alex,0.115,68.120,156
Jon,0.115,68.235,157
Ronnie,0.113,68.348,158
Bill,0.112,68.461,159
Lloyd,0.112,68.573,160
Tommy,0.112,68.685,161
Leon,0.112,68.797,162
Derek,0.112,68.908,163
Warren,0.110,69.018,164
Darrell,0.108,69.126,165
Jerome,0.108,69.234,166
Floyd,0.107,69.340,167
Leo,0.106,69.446,168
Alvin,0.105,69.551,169
Tim,0.104,69.656,170
Wesley,0.104,69.760,171
Gordon,0.104,69.864,172
Dean,0.104,69.968,173
Greg,0.104,70.071,174
Jorge,0.104,70.175,175
Dustin,0.103,70.278,176
Pedro,0.103,70.381,177
Derrick,0.103,70.484,178
Dan,0.101,70.585,179
Lewis,0.099,70.684,180
Zachary,0.099,70.782,181
Corey,0.098,70.880,182
Herman,0.097,70.977,183
Maurice,0.097,71.074,184
Vernon,0.097,71.171,185
Roberto,0.097,71.268,186
Clyde,0.095,71.363,187
Glen,0.094,71.457,188
Hector,0.094,71.551,189
Shane,0.093,71.645,190
Ricardo,0.093,71.738,191
Sam,0.092,71.830,192
Rick,0.091,71.921,193
Lester,0.091,72.011,194
Brent,0.090,72.102,195
Ramon,0.090,72.192,196
Charlie,0.090,72.281,197
Tyler,0.089,72.371,198
Gilbert,0.089,72.460,199
Gene,0.087,72.547,200
Marc,0.087,72.634,201
Reginald,0.084,72.717,202
Ruben,0.082,72.800,203
Brett,0.082,72.882,204
Angel,0.082,72.964,205
Nathaniel,0.081,73.045,206
Rafael,0.081,73.126,207
Leslie,0.081,73.207,208
Edgar,0.080,73.287,209
Milton,0.080,73.367,210
Raul,0.079,73.446,211
Ben,0.078,73.524,212
Chester,0.078,73.602,213
Cecil,0.078,73.680,214
Duane,0.077,73.757,215
Franklin,0.077,73.834,216
Andre,0.076,73.910,217
Elmer,0.074,73.984,218
Brad,0.073,74.057,219
Gabriel,0.073,74.130,220
Ron,0.072,74.202,221
Mitchell,0.072,74.274,222
Roland,0.072,74.347,223
Arnold,0.072,74.419,224
Harvey,0.072,74.491,225
Jared,0.071,74.562,226
Adrian,0.069,74.631,227
Karl,0.069,74.699,228
Cory,0.068,74.767,229
Claude,0.068,74.835,230
Erik,0.068,74.903,231
Darryl,0.067,74.970,232
Jamie,0.066,75.037,233
Neil,0.066,75.102,234
Jessie,0.065,75.168,235
